Twitter User,Texto,Fecha de Creado,Hora,Región,Número de palabras,Número de letras,App Username,Tag
b'Noemi Torollo',b'\xf0\x9f\x87\xaa\xf0\x9f\x87\xba M\xc3\xa1rio Centeno: \xe2\x80\x9cEl d\xc3\xa9ficit que tiene #Europa es en la lucha contra la #desigualdad\xe2\x80\x9d https://t.co/SJKMkZmquP v\xc3\xada\xe2\x80\xa6 https://t.co/SLw0L5tSK5',b'2018-12-16',b'11',b'We are all one.',b'18',b'139',b'MasterBigData',b'#Europa'
b'Noemi Torollo',b'\xf0\x9f\x87\xaa\xf0\x9f\x87\xba M\xc3\xa1rio Centeno: \xe2\x80\x9cEl d\xc3\xa9ficit que tiene #Europa es en la lucha contra la #desigualdad\xe2\x80\x9d https://t.co/SJKMkZmquP v\xc3\xada\xe2\x80\xa6 https://t.co/SLw0L5tSK5',b'2018-12-16',b'11',b'We are all one.',b'18',b'139',b'MasterBigData',b'#Europa'
b'Noemi Torollo',b'\xf0\x9f\x87\xaa\xf0\x9f\x87\xba M\xc3\xa1rio Centeno: \xe2\x80\x9cEl d\xc3\xa9ficit que tiene #Europa es en la lucha contra la #desigualdad\xe2\x80\x9d https://t.co/SJKMkZmquP v\xc3\xada\xe2\x80\xa6 https://t.co/SLw0L5tSK5',b'2018-12-16',b'11',b'We are all one.',b'18',b'139',b'MasterBigData',b'#Europa'
b'J\xc3\xb6rg | kachelmannwetter.com',"b'RT @Alpinwetter: #Europa: Nach dem ECMWF/Global Euro HD Modell ist es am 24.12.2018 in Deutschland und \xc3\x96sterreich oft frostfrei, aber schon\xe2\x80\xa6'",b'2018-12-16',b'11',b'Schweiz',b'21',b'140',b'MasterBigData',b'#Europa'
b'J\xc3\xb6rg | kachelmannwetter.com',"b'RT @Alpinwetter: #Europa: Nach dem ECMWF/Global Euro HD Modell ist es am 24.12.2018 in Deutschland und \xc3\x96sterreich oft frostfrei, aber schon\xe2\x80\xa6'",b'2018-12-16',b'11',b'Schweiz',b'21',b'140',b'MasterBigData',b'#Europa'
b'J\xc3\xb6rg | kachelmannwetter.com',"b'RT @Alpinwetter: #Europa: Nach dem ECMWF/Global Euro HD Modell ist es am 24.12.2018 in Deutschland und \xc3\x96sterreich oft frostfrei, aber schon\xe2\x80\xa6'",b'2018-12-16',b'11',b'Schweiz',b'21',b'140',b'MasterBigData',b'#Europa'
b'Mercedes Montero',b'RT @jesusmarana: Los #lobbies y los populistas de derechas ponen zancadillas en #Europa a la lucha contra el cambio clim\xc3\xa1tico. Informe de @\xe2\x80\xa6',b'2018-12-16',b'11',b'None',b'23',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'Ramon Bobet',"b'RT @fmartinf: Que triste que #Espa\xc3\xb1a genere empleo gracias a la inversi\xc3\xb3n militar y no a la inversi\xc3\xb3n cient\xc3\xadfica , tecnol\xc3\xb3gica, sanitaria,\xe2\x80\xa6'",b'2018-12-16',b'11',"b'Horta, encara de Lleida'",b'22',b'139',b'MasterBigData',b'#Espa\xc3\xb1a'
b'giulia33',"b""@mattegori95 @mfegfeprato Per un'#Europa\nUNITA in forma federale e\nLIBERA da condizionamenti \ndi #USA, #Russia\xe2\x80\xa6 https://t.co/hYVEqsRhSD""",b'2018-12-16',b'11',"b'Roma, Lazio'",b'16',b'135',b'MasterBigData',b'#Espa\xc3\xb1a'
b'Mercedes Montero',"b'RT @_infoLibre: La amenaza de los esc\xc3\xa9pticos del #cambioclim\xc3\xa1tico tambi\xc3\xa9n se cierne sobre #Europa, un tema de @Mediapart @MediapartES https\xe2\x80\xa6'",b'2018-12-16',b'11',b'None',b'20',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
